SawStep;cry_per_user;LRC;churn
400;1.3;0.25;0.003
401;2.8;0.53;0.003
402;4.5;0.73;0.002
403;2.9;0.55;0.002
404;4.2;0.73;0.01
405;2.1;0.38;0.007
406;2.3;0.52;0.012
407;3.6;0.63;0.01
410;1.9;0.4;0.005
414;3.6;0.65;0.007
416;3.1;0.51;0.005
417;4.3;0.76;0.005
418;3;0.58;0.007
419;1.9;0.35;0.002
420;3;0.64;0.002
421;1.9;0.38;0.01
422;4.5;0.76;0.002
423;1.6;0.32;0.005
424;3.9;0.77;0.01
425;1.7;0.33;0.005
427;0.9;0.21;0.005
428;3.3;0.67;0.008
429;1.6;0.37;0.005
431;1.5;0.36;0.003
432;2.8;0.51;0.005
433;3.4;0.67;0.008
434;1.4;0.23;0.003
435;2.7;0.53;0.005
436;4.2;0.74;0.003
437;1.8;0.32;0.003
438;3.1;0.63;0.003
439;1.6;0.39;0.008
442;1.5;0.35;0.005
443;3.4;0.63;0.003
444;1.4;0.34;0.003
445;4.1;0.75;0.008
446;3.3;0.65;0.003
448;4.1;0.8;0.005
449;2.4;0.56;0.003
450;1;0.25;0.005
451;3;0.61;0.003
452;4.2;0.76;0.008
454;3.2;0.63;0.003
455;1.6;0.38;0.003
456;2.6;0.51;0.005
457;3.6;0.65;0.008
458;4.3;0.75;0.003
459;2.5;0.47;0.003
460;1.7;0.36;0.003
461;3.6;0.76;0.005
462;3.3;0.65;0.005
463;2.4;0.52;0.003
468;1.8;0.35;0.005
471;3.9;0.74;0.01
473;1;0.22;0.008
474;4.5;0.75;0.01
475;2.3;0.55;0.003
476;3.6;0.66;0.003
478;4.5;0.74;0.008
479;2.2;0.5;0.003
480;3.5;0.6;0.008
481;2.6;0.56;0.003
482;1.8;0.37;0.005
483;4.3;0.72;0.005
484;2.5;0.5;0.013
485;3.5;0.59;0.005
488;4.4;0.77;0.003
489;3.7;0.66;0.005
490;1.6;0.36;0.008
491;4.7;0.76;0.003
492;2;0.34;0.005
494;3;0.53;0.008
495;4.1;0.69;0.011
496;4.6;0.75;0.003
498;3.4;0.63;0.005
502;2;0.51;0.003
503;1.6;0.4;0.003
504;2.5;0.54;0.011
505;4.5;0.74;0.011
506;1.8;0.37;0.006
507;4.2;0.66;0.014
509;2.9;0.51;0.003
510;4.3;0.72;0.006
511;1.7;0.33;0.003
512;3.4;0.63;0.006
513;1.9;0.31;0.006
514;4.8;0.75;0.003
517;2.3;0.59;0.011
518;4.7;0.76;0.003
519;1.8;0.35;0.003
520;3.6;0.67;0.006
521;1.5;0.34;0.003
522;3.7;0.61;0.003
525;2.4;0.52;0.003
526;3.9;0.77;0.006
529;3;0.51;0.006
531;1.5;0.34;0.006
532;3.6;0.59;0.006
533;4.5;0.72;0.006
534;1.6;0.39;0.006
536;2.5;0.48;0.008
537;1.3;0.24;0.003
538;2.7;0.58;0.003
539;2.4;0.55;0.006
540;4.3;0.74;0.011
541;1.9;0.34;0.003
542;3.6;0.64;0.006
543;4;0.74;0.006
544;1.7;0.32;0.006
545;3;0.62;0.003
546;1.2;0.27;0.009
548;4;0.75;0.006
549;1.8;0.36;0.003
550;3.4;0.59;0.003
551;1.6;0.34;0.003
554;3.7;0.67;0.003
556;3;0.62;0.008
558;4.4;0.74;0.006
559;2.6;0.51;0.003
561;2.6;0.5;0.006
562;3.3;0.67;0.006
564;4.4;0.73;0.003
565;3.6;0.66;0.006
566;2;0.34;0.003
568;2.3;0.5;0.003
571;2.6;0.55;0.006
573;3.6;0.63;0.003
575;4.5;0.76;0.003
576;2.9;0.51;0.003
578;2.5;0.51;0.003
579;3.9;0.76;0.008
580;3.5;0.64;0.006
581;1.7;0.36;0.003
582;3.5;0.63;0.008
583;1.8;0.37;0.003
584;4.6;0.72;0.003
585;3.1;0.49;0.003
586;1;0.27;0.003
587;2.8;0.48;0.006
590;2.7;0.57;0.003
594;2.1;0.36;0.009
595;3.7;0.76;0.006
596;2.1;0.41;0.003
598;1.2;0.23;0.003
599;2.9;0.49;0.003
600;4.1;0.73;0.012
601;2.3;0.55;0.006
603;1.8;0.3;0.006
605;1.3;0.23;0.003
606;2.9;0.52;0.003
607;3.9;0.72;0.006
610;3.4;0.61;0.003
612;3.8;0.66;0.006
613;1.8;0.39;0.006
614;3.4;0.66;0.012
615;2.5;0.47;0.006
616;4.5;0.73;0.003
618;1.6;0.39;0.006
620;1.1;0.25;0.003
622;3.9;0.68;0.003
624;2.7;0.59;0.003
625;1.1;0.22;0.003
626;2.4;0.51;0.003
627;4.5;0.75;0.003
629;3.3;0.67;0.003
630;2.6;0.5;0.003
631;1.2;0.25;0.003
636;3.2;0.54;0.006
639;2.5;0.54;0.009
640;1.6;0.38;0.003
641;3.2;0.71;0.003
643;4.3;0.76;0.003
644;1.8;0.36;0.003
645;2.3;0.59;0.003
646;1.1;0.2;0.003
647;3.8;0.65;0.003
648;2.6;0.5;0.006
650;1.8;0.38;0.006
651;3.9;0.66;0.006
652;3;0.5;0.003
653;1.3;0.21;0.003
655;1.6;0.37;0.003
656;3.8;0.66;0.006
657;2.7;0.53;0.003
659;3.5;0.54;0.006
660;1.1;0.2;0.003
661;3.4;0.63;0.003
663;2.7;0.55;0.006
664;3.9;0.72;0.003
665;3.2;0.5;0.006
666;3.7;0.7;0.003
670;3.1;0.5;0.006
676;3;0.53;0.006
677;4;0.72;0.006
678;2.9;0.5;0.003
679;1.2;0.24;0.006
684;2.3;0.54;0.003
685;0.8;0.2;0.003
686;2;0.4;0.003
688;1.8;0.38;0.006
689;3.8;0.76;0.006
692;4.2;0.62;0.009
694;3.6;0.65;0.003
695;3.8;0.76;0.003
696;0.9;0.25;0.003
698;2.1;0.4;0.006
699;2.7;0.58;0.003
705;3.6;0.66;0.003
707;2.4;0.59;0.006
708;4.1;0.78;0.006
709;2.1;0.54;0.003
710;3.2;0.68;0.003
713;1.7;0.39;0.003
714;3.1;0.69;0.003
715;2.7;0.54;0.003
718;1.9;0.38;0.003
719;2.8;0.67;0.003
721;1.3;0.28;0.003
723;4.1;0.74;0.009
724;1.7;0.4;0.003
725;4;0.66;0.009
727;2.1;0.38;0.003
728;1.2;0.23;0.006
729;3.2;0.66;0.006
731;3.6;0.63;0.006
733;0.5;0.22;0.003
734;3.1;0.66;0.003
736;3.6;0.76;0.015
737;1.8;0.37;0.003
740;1.1;0.23;0.003
741;2.1;0.49;0.003
743;2.3;0.52;0.003
746;4.9;0.75;0.003
747;2.2;0.51;0.006
751;1;0.22;0.003
752;3.2;0.61;0.003
755;1.6;0.37;0.003
758;1.2;0.25;0.006
759;2.5;0.54;0.003
760;4.1;0.74;0.003
761;2.6;0.51;0.003
762;4;0.65;0.003
767;2.6;0.52;0.006
768;4.4;0.72;0.006
769;3;0.49;0.003
770;1.1;0.27;0.003
771;3.2;0.65;0.003
772;1.7;0.32;0.003
773;3.3;0.64;0.003
775;3.6;0.65;0.006
776;0.9;0.25;0.003
777;2.2;0.52;0.003
778;4.6;0.75;0.003
780;1.6;0.36;0.003
783;4.1;0.68;0.003
784;1.6;0.34;0.003
785;3.2;0.63;0.003
789;4.2;0.75;0.006
791;1.8;0.37;0.006
792;3.2;0.63;0.006
793;1.6;0.32;0.003
794;3.5;0.58;0.009
798;2.6;0.53;0.006
801;2.8;0.55;0.003
802;3.9;0.68;0.003
804;0.9;0.22;0.003
805;2.5;0.49;0.006
806;3.1;0.68;0.012
807;2;0.53;0.003
811;2.5;0.47;0.006
813;2.2;0.52;0.003
814;2.7;0.64;0.003
816;2.8;0.63;0.006
817;1.5;0.27;0.003
819;1.3;0.4;0.003
821;3.6;0.72;0.003
825;3.4;0.75;0.006
826;2.6;0.58;0.003
830;3;0.66;0.003
833;3.1;0.64;0.003
834;1.1;0.28;0.006
837;2.3;0.5;0.003
838;1.8;0.33;0.003
839;2.8;0.66;0.003
841;2.4;0.49;0.003
853;2.7;0.61;0.012
855;3.1;0.67;0.003
856;2.5;0.51;0.003
857;3.2;0.63;0.003
863;3.3;0.63;0.003
865;3.4;0.66;0.003
867;3.1;0.65;0.003
869;4;0.77;0.003
870;2.3;0.52;0.003
871;1;0.21;0.003
872;3.3;0.65;0.006
873;2.2;0.49;0.003
876;0.9;0.22;0.003
878;2.6;0.66;0.01
879;2.6;0.53;0.003
885;1;0.22;0.003
886;2.5;0.62;0.003
887;1.5;0.37;0.003
888;3.8;0.76;0.003
893;3.1;0.65;0.007
895;2.5;0.57;0.003
900;1.8;0.53;0.003
903;3.8;0.75;0.003
906;2.7;0.66;0.003
907;1.6;0.38;0.003
908;3.2;0.71;0.01
910;1.4;0.42;0.01
911;3.6;0.61;0.01
916;2.5;0.63;0.003
920;3.5;0.74;0.007
921;1.3;0.33;0.003
923;1.1;0.22;0.01
924;2.9;0.68;0.003
928;2.3;0.52;0.003
929;4.6;0.73;0.003
930;3.3;0.65;0.007
934;2.6;0.66;0.003
938;2.6;0.61;0.01
940;3.8;0.77;0.007
943;2.3;0.54;0.007
944;3.1;0.64;0.01
945;1.3;0.4;0.003
948;2.6;0.67;0.003
949;1.2;0.39;0.007
950;3.9;0.73;0.01
952;1;0.23;0.003
953;3.5;0.62;0.003
957;2.1;0.52;0.007
958;4;0.75;0.007
959;1;0.26;0.003
961;2.9;0.67;0.01
963;2.9;0.6;0.003
964;1.7;0.36;0.007
965;2.8;0.6;0.003
966;0.7;0.27;0.003
968;3.8;0.73;0.007
969;2;0.52;0.003
970;2.8;0.67;0.003
973;1.1;0.33;0.003
974;3.8;0.73;0.007
975;1.2;0.26;0.003
976;2.8;0.53;0.003
977;2.7;0.69;0.01
978;1.5;0.39;0.003
981;2.4;0.56;0.003
982;3.6;0.73;0.007
984;1.1;0.25;0.003
985;1.9;0.5;0.003
986;2.8;0.68;0.01
990;2.3;0.52;0.007
991;2.9;0.74;0.003
994;0.7;0.25;0.003
996;3.8;0.76;0.01
999;3;0.67;0.007
1002;2.1;0.53;0.007
1004;2.6;0.64;0.01
1005;4.4;0.8;0.003
1007;0.9;0.25;0.003
1008;2;0.53;0.003
1011;3.2;0.66;0.003
1012;2.4;0.53;0.003
1015;3;0.67;0.007
1016;2.2;0.52;0.003
1017;2.4;0.66;0.003
1018;0.8;0.28;0.003
1019;3.2;0.75;0.003
1021;3;0.67;0.003
1022;1.1;0.35;0.003
1023;3;0.66;0.003
1024;2.5;0.53;0.007
1026;1.5;0.41;0.007
1028;2;0.52;0.007
1029;3.5;0.7;0.003
1031;2.9;0.64;0.006
1033;2.7;0.69;0.006
1034;0.8;0.3;0.013
1035;1.9;0.54;0.007
1036;3.8;0.81;0.007
1038;4.1;0.8;0.007
1039;1.9;0.57;0.007
1043;1.4;0.41;0.01
1044;3.3;0.76;0.014
1046;4.2;0.84;0.004
1048;2.7;0.67;0.004
1050;3.1;0.76;0.004
1053;1.7;0.54;0.004
1055;1.3;0.44;0.008
1056;2.3;0.66;0.004
1059;0.8;0.29;0.004
1061;2;0.57;0.004
1062;2.7;0.69;0.004
1063;2.3;0.53;0.004
1065;2.7;0.67;0.007
1066;1;0.4;0.007
1067;4.2;0.74;0.007
1068;1.9;0.53;0.007
1069;2.6;0.65;0.007
1070;1.1;0.25;0.011
1071;1.8;0.54;0.014
1072;4.2;0.73;0.007
1074;1.2;0.36;0.007
1076;1.6;0.51;0.004
1080;2.4;0.56;0.01
1081;1.3;0.39;0.003
1082;4.4;0.81;0.01
1083;2.1;0.55;0.003
1084;2.9;0.7;0.01
1087;1.2;0.25;0.007
1088;1.7;0.5;0.007
1092;1.7;0.51;0.004
1093;3.2;0.74;0.011
1097;3.2;0.66;0.004
1098;0.9;0.27;0.004
1099;3.8;0.74;0.01
1100;2.4;0.65;0.003
1101;2.1;0.51;0.004
1102;1.8;0.37;0.007
1103;2.6;0.73;0.004
1105;4.8;0.82;0.003
1106;1.3;0.38;0.01
1107;3.3;0.8;0.007
1109;3.3;0.7;0.01
1112;2;0.55;0.003
1113;2.6;0.65;0.003
1114;1.3;0.3;0.003
1115;2.7;0.71;0.01
1116;1.8;0.52;0.003
1117;2.9;0.81;0.003
1118;1.3;0.41;0.003
1119;2.6;0.68;0.007
1121;4.4;0.81;0.003
1122;1.7;0.42;0.007
1123;2.9;0.68;0.004
1124;2;0.56;0.004
1125;4.8;0.83;0.011
1126;1.4;0.43;0.004
1128;0.9;0.33;0.004
1133;2.6;0.66;0.007
1134;1.8;0.52;0.004
1135;3.8;0.81;0.007
1136;2.8;0.7;0.004
1137;1.1;0.25;0.007
1140;2.6;0.65;0.007
1141;2.2;0.55;0.004
1142;4.5;0.78;0.004
1143;1.8;0.35;0.007
1144;2.9;0.65;0.007
1146;3.1;0.69;0.004
1150;1.9;0.58;0.004
1151;3.8;0.82;0.007
1152;1.2;0.37;0.004
1153;2.7;0.69;0.007
1154;1.2;0.29;0.004
1156;1.9;0.38;0.004
1157;4.5;0.83;0.004
1159;3.2;0.72;0.004
1160;2.1;0.56;0.007
1161;2.4;0.64;0.004
1163;3.4;0.76;0.007
1164;1;0.26;0.011
1165;4.6;0.75;0.004
1168;2.1;0.57;0.004
1169;3;0.72;0.007
1171;4.2;0.81;0.004
1172;2.3;0.5;0.004
1173;2.8;0.64;0.004
1176;2.2;0.51;0.004
1178;1.9;0.42;0.004
1179;3.7;0.81;0.007
1181;2.8;0.63;0.004
1182;2;0.53;0.004
1185;2.3;0.68;0.004
1187;3.5;0.75;0.007
1189;2.4;0.66;0.007
1192;1.6;0.4;0.004
1193;2.4;0.69;0.004
1194;3.2;0.76;0.004
1197;2.6;0.68;0.007
1199;4.4;0.81;0.004
1200;2.7;0.63;0.004
1201;3.1;0.77;0.004
1202;1.9;0.58;0.007
1203;2.1;0.68;0.004
1205;3.9;0.81;0.004
1207;2.9;0.69;0.004
1208;1.9;0.55;0.007
1209;3.7;0.83;0.004
1210;0.7;0.27;0.004
1211;2.4;0.69;0.004
1212;1.9;0.55;0.007
1213;4;0.81;0.007
1215;2.4;0.69;0.007
1217;2.6;0.68;0.004
1218;1.3;0.37;0.007
1219;3.8;0.77;0.007
1220;2.5;0.64;0.008
1221;4;0.83;0.004
1222;1.7;0.49;0.004
1225;4.1;0.77;0.008
1227;2.9;0.64;0.004
1228;1.4;0.34;0.004
1230;2.6;0.54;0.004
1232;2.5;0.53;0.004
1235;3.1;0.69;0.004
1236;2.1;0.53;0.004
1239;3.4;0.78;0.004
1241;3.2;0.65;0.004
1242;2.3;0.54;0.008
1243;3.6;0.73;0.004
1244;0.8;0.22;0.004
1247;4;0.81;0.004
1251;0.4;0.11;0.004
1252;2;0.55;0.007
1253;4.3;0.75;0.004
1254;2.2;0.51;0.004
1255;3.4;0.69;0.004
1257;3.5;0.76;0.004
1258;2;0.51;0.004
1261;3.2;0.68;0.011
1263;3;0.73;0.004
1264;1.8;0.53;0.004
1266;2.7;0.53;0.004
1267;3.2;0.65;0.007
1270;2.8;0.67;0.004
1272;3;0.65;0.008
1273;2.5;0.57;0.004
1274;4.4;0.81;0.008
1276;2.8;0.66;0.008
1277;1.3;0.42;0.008
1280;3.6;0.68;0.012
1281;1.2;0.27;0.004
1283;1.6;0.49;0.004
1284;3.1;0.67;0.004
1286;3.4;0.7;0.008
1288;4.4;0.83;0.008
1289;2.7;0.63;0.008
1291;2.9;0.67;0.004
1292;2;0.56;0.004
1293;2.5;0.73;0.012
1295;4.5;0.84;0.008
1296;3.3;0.68;0.012
1297;3.6;0.77;0.004
1300;2.6;0.64;0.004
1302;4.4;0.81;0.012
1304;2.9;0.6;0.008
1306;3;0.7;0.008
1307;1.9;0.56;0.004
1309;1.5;0.4;0.004
1310;3.2;0.7;0.004
1312;4.7;0.8;0.008
1318;2.5;0.65;0.004
1319;1.3;0.35;0.004
1322;3.1;0.64;0.004
1323;0.9;0.27;0.004
1325;1.7;0.4;0.004
1326;4.1;0.81;0.009
1328;3.8;0.73;0.009
1329;1.6;0.42;0.009
1334;3.8;0.82;0.004
1336;3.1;0.7;0.008
1337;1.8;0.37;0.009
1338;2.6;0.72;0.004
1339;2.4;0.54;0.004
1340;4.3;0.81;0.004
1342;2.9;0.68;0.009
1343;4.2;0.75;0.004
1344;2;0.53;0.009
1345;2.7;0.66;0.004
1346;4.1;0.81;0.009
1347;2.5;0.52;0.004
1348;3.1;0.65;0.004
1349;1.7;0.38;0.013
1350;3;0.68;0.009
1351;0.9;0.25;0.004
1352;3.3;0.66;0.004
1354;3.8;0.76;0.004
1356;3.9;0.75;0.009
1357;3.2;0.62;0.004
1358;2.4;0.49;0.004
1359;2.6;0.66;0.009
1365;2.1;0.55;0.009
1369;5.2;0.81;0.013
1371;1.6;0.39;0.009
1376;3.5;0.67;0.009
1377;1;0.39;0.009
1378;2.9;0.59;0.013
1380;3.3;0.69;0.009
1381;2.4;0.48;0.009
1383;4.5;0.78;0.004
1384;2.9;0.63;0.004
1385;2.2;0.38;0.004
1387;4.4;0.81;0.004
1390;3.4;0.64;0.004
1391;3.8;0.78;0.004
1393;2.9;0.67;0.004
1394;1;0.29;0.004
1395;2.5;0.63;0.004
1396;4.7;0.82;0.009
1398;2.8;0.64;0.009
1400;3.5;0.76;0.009
1402;2.6;0.65;0.004
1404;5;0.8;0.008
1405;2;0.51;0.004
1407;1.5;0.39;0.004
1408;3.2;0.7;0.013
1409;2.1;0.54;0.004
1410;2.8;0.65;0.004
1411;4.7;0.76;0.004
1414;3.3;0.64;0.008
1415;3.8;0.79;0.008
1417;2;0.5;0.004
1418;3;0.71;0.004
1419;1.5;0.38;0.008
1420;3.8;0.67;0.004
1421;4.1;0.81;0.004
1424;1.3;0.41;0.008
1426;2.3;0.52;0.004
1427;3;0.67;0.008
1429;3.7;0.82;0.004
1431;0.6;0.21;0.004
1433;3.6;0.74;0.012
1434;1.6;0.44;0.004
1435;2.9;0.69;0.004
1438;1.9;0.53;0.004
1440;1.6;0.39;0.004
1443;3.3;0.67;0.012
1445;3.7;0.84;0.004
1446;2.3;0.5;0.004
1448;4.6;0.84;0.004
1449;1.6;0.55;0.004
1450;4;0.75;0.004
1452;4;0.77;0.004
1454;2.8;0.7;0.004
1457;1.3;0.35;0.004
1458;3.2;0.68;0.008
1459;1.7;0.5;0.004
1460;4.9;0.83;0.008
1461;3.2;0.66;0.012
1462;1;0.28;0.008
1463;1.8;0.53;0.004
1465;1.3;0.37;0.004
1467;2.3;0.44;0.008
1468;2.8;0.62;0.004
1469;0.8;0.27;0.008
1473;1.4;0.35;0.004
1475;2.2;0.52;0.004
1476;2.9;0.71;0.004
1478;4.4;0.83;0.004
1479;3;0.63;0.004
1482;2.1;0.52;0.009
1485;2.5;0.69;0.004
1486;1.2;0.23;0.009
1487;2.7;0.69;0.013
1488;4.7;0.8;0.013
1489;2.3;0.53;0.005
1490;3.1;0.7;0.009
1491;1.5;0.39;0.005
1493;2;0.54;0.005
1496;2.9;0.73;0.004
1498;2.9;0.69;0.009
1499;0.7;0.25;0.005
1500;2.5;0.66;0.004
1501;4.2;0.8;0.004
1502;1.9;0.54;0.004
1505;2.6;0.65;0.009
1507;2.9;0.67;0.009
1509;3.4;0.67;0.004
1512;4.1;0.81;0.009
1513;2.6;0.64;0.005
1514;2.1;0.52;0.005
1515;0.5;0.16;0.005
1517;1.2;0.41;0.009
1518;3.5;0.66;0.009
1520;1.8;0.53;0.009
1521;2.8;0.66;0.004
1522;0.9;0.28;0.004
1523;2.6;0.7;0.004
1524;2;0.52;0.013
1525;4.2;0.76;0.004
1526;2.4;0.6;0.004
1529;4.5;0.83;0.009
1532;1.6;0.41;0.004
1533;3.7;0.83;0.004
1534;2.9;0.69;0.004
1537;2.1;0.55;0.004
1539;3.9;0.78;0.004
1540;2.7;0.67;0.004
1542;3.7;0.66;0.004
1543;1.5;0.39;0.004
1546;2;0.54;0.013
1547;3.6;0.7;0.004
1549;4.8;0.83;0.016
1550;2.3;0.7;0.004
1551;4.9;0.83;0.004
