SawStep;cry_per_user;LRC;churn
1554;2.4;0.53;0.004
1556;4.5;0.83;0.004
1560;0.9;0.28;0.004
1562;3.4;0.74;0.012
1563;4.1;0.85;0.004
1567;3.2;0.69;0.004
1568;2;0.58;0.004
1569;3.2;0.71;0.012
1570;2.7;0.79;0.004
1571;3.8;0.85;0.004
1572;1.5;0.39;0.004
1575;3.5;0.69;0.004
1577;2.6;0.65;0.004
1578;1.1;0.28;0.004
1579;1.8;0.56;0.004
1580;3.3;0.76;0.004
1581;1;0.37;0.004
1583;1.8;0.51;0.004
1585;2.8;0.68;0.008
1586;2.4;0.63;0.004
1590;3.3;0.71;0.004
1594;1.1;0.32;0.004
1596;1.5;0.41;0.004
1597;2.1;0.54;0.004
1599;2.9;0.71;0.008
1600;2;0.52;0.004
1601;3.4;0.73;0.004
1602;2.7;0.67;0.004
1604;2.9;0.65;0.013
1605;3.8;0.8;0.021
1607;2.5;0.53;0.009
1611;1.8;0.5;0.004
1612;3.8;0.75;0.004
1613;2.6;0.65;0.004
1615;2.9;0.72;0.009
1616;2.2;0.53;0.008
1617;1.6;0.36;0.004
1619;3.9;0.81;0.004
1627;4;0.81;0.012
1631;2.6;0.63;0.004
1633;3.3;0.74;0.008
1634;3.1;0.66;0.004
1635;4.2;0.84;0.008
1636;1.6;0.5;0.004
1639;1.6;0.56;0.004
1640;2.7;0.68;0.016
1641;3.3;0.84;0.004
1644;1.4;0.57;0.004
1645;2;0.67;0.004
1646;3.2;0.78;0.008
1647;4.9;0.85;0.008
1648;1.8;0.55;0.004
1651;2.9;0.73;0.004
1654;2.1;0.61;0.004
1655;2.6;0.68;0.004
1660;4.4;0.85;0.004
1662;2.9;0.66;0.012
1663;4.3;0.79;0.004
1664;3;0.69;0.008
1666;4.1;0.83;0.008
1668;3;0.79;0.016
1669;1.9;0.5;0.004
1672;4.2;0.82;0.004
1675;3.3;0.66;0.004
1677;3.7;0.78;0.008
1679;2.7;0.65;0.008
1681;1;0.22;0.004
1683;2.1;0.51;0.004
1685;5.3;0.84;0.008
1686;2.3;0.62;0.008
1689;1.6;0.36;0.004
1690;4.1;0.78;0.004
1691;2.9;0.67;0.004
1694;3;0.72;0.004
1699;3.2;0.7;0.004
1700;1;0.25;0.004
1701;3.2;0.63;0.004
1702;3.7;0.74;0.004
1703;2;0.53;0.004
1705;2.4;0.6;0.004
1707;2.9;0.7;0.004
1708;2.8;0.56;0.008
1709;4;0.81;0.021
1710;3.2;0.61;0.009
1711;4.6;0.77;0.004
1715;3.2;0.64;0.013
1717;3.1;0.61;0.004
1718;2.3;0.57;0.004
1719;3;0.7;0.004
1721;4.7;0.82;0.013
1724;3.5;0.75;0.004
1727;2;0.52;0.013
1728;4.4;0.83;0.004
1729;2.8;0.63;0.009
1731;2.8;0.69;0.004
1732;2.2;0.54;0.004
1735;4.3;0.8;0.009
1736;1.6;0.32;0.009
1738;3.7;0.69;0.004
1739;0.8;0.22;0.004
1741;4.4;0.83;0.004
1743;3.1;0.63;0.004
1747;3;0.64;0.004
1749;3.3;0.72;0.004
1751;4.4;0.78;0.004
1753;2.3;0.58;0.004
1758;4.4;0.82;0.013
1760;3.3;0.67;0.004
1762;3.7;0.82;0.022
1764;3.2;0.75;0.004
1765;2.6;0.65;0.004
1766;3.6;0.82;0.004
1768;2.5;0.67;0.009
1769;1.5;0.5;0.004
1770;3.9;0.84;0.004
1771;2.5;0.69;0.005
1773;2.4;0.64;0.005
1775;2.7;0.63;0.005
1776;1.7;0.5;0.005
1777;3.1;0.76;0.005
1778;1.2;0.34;0.005
1780;2.7;0.67;0.013
1781;3.3;0.52;0.009
1783;1.3;0.35;0.005
1785;2.2;0.61;0.005
1788;4.9;0.83;0.005
1789;2.4;0.66;0.005
1791;3;0.73;0.005
1793;4.5;0.82;0.005
1794;3;0.67;0.01
1797;4.3;0.82;0.01
1798;2.3;0.69;0.005
1800;1.8;0.62;0.005
1801;3.4;0.77;0.01
1803;1.4;0.33;0.01
1804;2.2;0.64;0.005
1806;2.7;0.68;0.005
1807;4.2;0.84;0.019
1808;2.7;0.64;0.009
1810;3.1;0.7;0.005
1814;3.5;0.74;0.014
1815;2.5;0.65;0.005
1816;3.8;0.8;0.005
1820;4.7;0.8;0.009
1823;3.3;0.7;0.005
1824;4.3;0.8;0.005
1825;3.7;0.8;0.005
1826;2.8;0.69;0.005
1828;2.3;0.67;0.009
1831;2.9;0.61;0.005
1832;3.7;0.82;0.009
1833;0.8;0.24;0.005
1834;3.8;0.78;0.009
1836;1.6;0.53;0.014
1837;4.5;0.85;0.005
1842;3.2;0.7;0.005
1843;4.3;0.84;0.005
1844;1.9;0.56;0.005
1845;3.8;0.82;0.014
1847;1.4;0.52;0.005
1848;1.4;0.44;0.009
1856;3;0.74;0.01
1857;3.7;0.83;0.01
1860;2.1;0.7;0.028
1861;3.9;0.84;0.005
1863;1.2;0.37;0.005
1866;3;0.68;0.005
1868;1.8;0.59;0.005
1869;3.3;0.82;0.009
1870;2.8;0.69;0.01
1873;4.3;0.85;0.009
1876;3.5;0.66;0.005
1877;3.8;0.8;0.005
1879;4.1;0.83;0.005
1881;1.7;0.39;0.009
1884;2.8;0.77;0.005
1885;2.7;0.67;0.005
1886;3.7;0.83;0.005
1888;4.1;0.79;0.009
1890;4.2;0.83;0.005
1891;1.7;0.52;0.005
1892;3.2;0.72;0.009
1893;2.3;0.58;0.005
1894;3.5;0.83;0.028
1895;2.8;0.72;0.005
1896;2;0.57;0.005
1897;2.9;0.75;0.01
1900;3;0.69;0.005
1901;1;0.28;0.009
1903;5.1;0.84;0.019
1906;2.7;0.65;0.005
1907;4.2;0.82;0.019
1909;3.5;0.76;0.005
1911;4.7;0.83;0.005
1913;3.8;0.77;0.005
1914;1.8;0.44;0.01
1918;2.6;0.54;0.005
1919;4.5;0.82;0.005
1922;3;0.68;0.01
1923;5.2;0.85;0.005
1925;3;0.76;0.005
1927;4.1;0.82;0.005
1929;2.4;0.56;0.01
1931;1.2;0.42;0.005
1933;4.5;0.82;0.009
1936;3.3;0.71;0.005
1937;4.3;0.85;0.014
1941;3.5;0.71;0.014
1943;3.1;0.68;0.014
1944;3.8;0.82;0.005
1949;2.9;0.63;0.01
1950;3.2;0.68;0.005
1951;1.7;0.44;0.005
1953;2.3;0.54;0.005
1956;2.4;0.55;0.01
1959;3.3;0.69;0.005
1960;4.6;0.82;0.005
1962;1.5;0.35;0.005
1964;4.6;0.81;0.005
1965;2.7;0.65;0.01
1967;3.7;0.72;0.01
1969;4.5;0.81;0.005
1974;2.5;0.61;0.01
1976;2;0.56;0.009
1978;3;0.68;0.009
1981;2.2;0.5;0.005
1983;3;0.57;0.005
1984;4.1;0.77;0.005
1991;3.8;0.77;0.009
1992;4.7;0.85;0.005
1993;2.4;0.69;0.005
1994;1.3;0.46;0.014
1996;4.3;0.83;0.009
2000;4.1;0.82;0.019
2004;4.1;0.84;0.004
2010;1.3;0.41;0.004
2011;3.1;0.74;0.009
2012;4.2;0.83;0.009
2013;2;0.54;0.004
2014;2.6;0.72;0.009
2020;4.5;0.85;0.009
2027;4;0.76;0.004
2028;1.8;0.56;0.004
2029;3.9;0.83;0.009
2031;3.2;0.63;0.004
2034;1.4;0.34;0.004
2035;3;0.67;0.013
2039;3.8;0.72;0.004
2042;2.3;0.56;0.004
2043;4.1;0.82;0.009
2048;4.1;0.8;0.004
2049;2.3;0.5;0.009
2052;4.4;0.81;0.004
2053;2.7;0.65;0.004
2054;1.1;0.32;0.004
2055;3.4;0.68;0.013
2056;4.5;0.83;0.004
2057;2.4;0.59;0.004
2058;3.5;0.7;0.004
2060;4.3;0.83;0.004
2061;2.7;0.66;0.004
2067;3.3;0.8;0.005
2069;3.8;0.7;0.005
2072;4;0.76;0.009
2076;2.7;0.67;0.005
2082;1.7;0.48;0.004
2085;1.5;0.38;0.009
2091;2;0.5;0.009
2097;2.5;0.56;0.005
2098;3.9;0.76;0.005
2100;2.9;0.67;0.004
2102;3;0.7;0.005
2104;3.5;0.71;0.004
2105;4.5;0.8;0.004
2106;2.1;0.51;0.004
2107;4.1;0.75;0.004
2108;1.2;0.44;0.004
2110;3.8;0.84;0.004
2111;1.6;0.43;0.004
2112;3.5;0.76;0.004
2114;3.9;0.84;0.004
2116;3.7;0.67;0.004
2119;4.2;0.8;0.004
2123;4.8;0.83;0.004
2124;1.9;0.57;0.004
2126;1.9;0.59;0.013
2127;4;0.83;0.004
2128;2.8;0.69;0.004
2129;1.1;0.34;0.005
2130;3.9;0.77;0.005
2132;4.1;0.81;0.014
2136;4.1;0.8;0.004
2137;2.3;0.65;0.005
2141;4.1;0.79;0.009
2146;3.2;0.63;0.005
2147;4.2;0.81;0.005
2150;2.4;0.65;0.005
2153;2.6;0.72;0.009
2155;3.2;0.67;0.009
2159;2.9;0.62;0.005
2169;2.7;0.63;0.004
2170;4.9;0.84;0.004
2171;1.8;0.54;0.004
2172;3.3;0.77;0.004
2176;2.8;0.7;0.005
2178;4.1;0.77;0.009
2179;2.4;0.55;0.005
2180;4.4;0.83;0.009
2181;1.7;0.54;0.005
2183;3.2;0.67;0.005
2184;1.3;0.38;0.009
2186;3.7;0.81;0.005
2189;2.2;0.68;0.004
2190;3.6;0.83;0.004
2191;1.3;0.42;0.004
2192;1.7;0.55;0.009
2193;2;0.69;0.009
2194;4.1;0.84;0.004
2196;1.9;0.58;0.009
2197;2.8;0.66;0.004
2198;3.7;0.81;0.009
2201;1.9;0.57;0.004
2203;2.9;0.7;0.005
2205;3.7;0.84;0.009
2209;4;0.85;0.009
2213;2.6;0.72;0.009
2215;1.8;0.57;0.005
2216;2;0.66;0.005
2217;3.5;0.77;0.005
2218;1.2;0.38;0.009
2219;1.9;0.57;0.005
2225;2.3;0.71;0.009
2228;4.1;0.84;0.005
2229;2.8;0.65;0.004
2232;4.4;0.82;0.005
2233;3.1;0.68;0.005
2237;1.6;0.43;0.005
2238;4.1;0.84;0.009
2239;2.1;0.52;0.005
2242;2.4;0.66;0.014
2247;4;0.81;0.005
2249;3.4;0.78;0.014
2252;3.9;0.84;0.005
2253;1.2;0.42;0.01
2254;4.1;0.76;0.005
2261;3.7;0.81;0.005
2262;2.4;0.56;0.005
2263;2.8;0.71;0.009
2265;4;0.76;0.014
2267;4.2;0.83;0.005
2268;3;0.7;0.005
2270;3.8;0.73;0.009
2272;4.4;0.8;0.009
2273;1.9;0.49;0.005
2277;4;0.82;0.005
2281;3.2;0.67;0.005
2283;2.1;0.53;0.009
2284;3.4;0.7;0.018
2289;2.6;0.65;0.009
2291;4.3;0.83;0.009
2294;1.8;0.52;0.005
2295;3;0.71;0.005
2296;4.5;0.8;0.009
2298;1.8;0.4;0.004
2299;3.2;0.64;0.009
2303;1.5;0.45;0.005
2304;2.7;0.74;0.009
2307;3;0.81;0.005
2309;3.2;0.76;0.005
2312;2.8;0.53;0.005
2313;3.6;0.72;0.005
2316;4;0.82;0.014
2324;2.7;0.57;0.018
2328;2.9;0.65;0.005
2330;6;0.84;0.005
2332;3.2;0.67;0.005
2337;3.9;0.74;0.005
2339;3.3;0.63;0.005
2340;3.9;0.81;0.009
2341;2.2;0.53;0.009
2344;2.9;0.66;0.005
2345;4.4;0.82;0.005
2346;2.8;0.66;0.005
2352;3.1;0.64;0.005
2355;3.8;0.69;0.004
2358;2.2;0.53;0.004
2359;3.2;0.72;0.004
2360;2.1;0.52;0.009
2361;3.8;0.8;0.004
2364;3.4;0.69;0.013
2367;3;0.66;0.008
2368;1.9;0.51;0.004
2370;3;0.63;0.004
2371;4.7;0.83;0.013
2372;2.5;0.49;0.009
2373;3.3;0.64;0.004
2378;1.9;0.51;0.004
2383;2;0.52;0.009
2384;3;0.68;0.013
2388;1.5;0.38;0.004
2389;3.1;0.67;0.004
2390;4.4;0.83;0.009
2394;5;0.81;0.009
2395;3;0.66;0.009
2396;2.6;0.51;0.009
2397;4.7;0.81;0.009
2399;1.9;0.39;0.004
2401;1.8;0.54;0.004
2402;4.2;0.83;0.004
2403;2.2;0.54;0.004
2405;1.8;0.35;0.004
2406;2.3;0.64;0.004
2407;4.3;0.8;0.013
2408;2.5;0.59;0.004
2409;3.7;0.73;0.005
2410;1.8;0.55;0.009
2411;4;0.78;0.009
2412;3.4;0.66;0.005
2415;2.1;0.49;0.009
2417;4.5;0.81;0.01
2419;3.3;0.71;0.01
2421;3.8;0.83;0.01
2422;3.4;0.65;0.005
2425;2.9;0.51;0.005
2427;4.8;0.84;0.01
2428;1.4;0.4;0.005
2429;2.4;0.56;0.005
2431;2.4;0.48;0.014
2433;5.2;0.85;0.005
2434;1.7;0.37;0.005
2435;3.1;0.74;0.015
2437;3.1;0.66;0.01
2438;4.3;0.82;0.005
2443;4.4;0.81;0.015
2445;2.9;0.71;0.02
2447;2.2;0.66;0.005
2450;2.5;0.45;0.01
2451;3.5;0.68;0.01
2452;4.3;0.79;0.005
2456;3.8;0.79;0.005
2458;3.1;0.71;0.015
2459;5.1;0.82;0.005
2460;2.9;0.68;0.016
2462;3.8;0.69;0.005
2469;1.4;0.43;0.005
2470;2.7;0.75;0.01
2472;2.9;0.8;0.015
2473;1.3;0.35;0.005
2476;3.3;0.66;0.01
2481;3;0.5;0.005
2484;4.2;0.84;0.005
2486;4.2;0.79;0.005
2487;3.1;0.68;0.005
2490;4.8;0.83;0.005
2496;3.9;0.84;0.014
2497;3.5;0.63;0.005
2499;4.7;0.72;0.005
2500;1.3;0.31;0.005
2502;3.3;0.69;0.005
2504;2.8;0.63;0.009
2505;5.4;0.83;0.004
2507;2.9;0.72;0.005
2508;0.9;0.38;0.004
2509;3.3;0.72;0.013
2510;2.2;0.55;0.004
2512;3.7;0.67;0.004
2514;3.4;0.72;0.005
2519;1.4;0.31;0.009
2520;3.3;0.73;0.013
2521;2.5;0.56;0.013
2522;3.4;0.67;0.004
2523;4;0.8;0.009
2526;4.9;0.83;0.009
2527;2.1;0.54;0.005
2528;3.1;0.7;0.009
2529;2.2;0.53;0.005
2532;4.1;0.72;0.005
2533;1.4;0.36;0.005
2534;4.3;0.75;0.009
2536;3.8;0.83;0.009
2537;3.1;0.65;0.005
2539;3.3;0.7;0.005
2541;5;0.8;0.005
2547;3.5;0.76;0.005
2548;1.3;0.31;0.005
2549;3;0.7;0.005
2550;4.8;0.84;0.005
2554;3.2;0.6;0.005
2556;1.6;0.32;0.005
2562;3.2;0.65;0.01
2563;4;0.81;0.011
2567;3;0.66;0.005
2568;4.3;0.84;0.005
2571;3.1;0.72;0.005
2574;4.4;0.83;0.005
2575;2.5;0.66;0.005
2576;1.6;0.37;0.005
2578;1.9;0.42;0.005
2579;4.6;0.8;0.017
2581;4;0.74;0.011
2583;4.6;0.75;0.006
2586;2.1;0.5;0.005
2587;2.7;0.7;0.011
2588;4.3;0.78;0.005
2589;2;0.51;0.011
2590;3.1;0.71;0.005
2592;2.7;0.71;0.005
2595;1.4;0.38;0.005
2597;1.9;0.51;0.005
2602;4.5;0.8;0.005
2604;1.2;0.39;0.015
2605;3.5;0.72;0.005
2606;2.1;0.49;0.005
2610;1.9;0.51;0.005
2611;3.1;0.64;0.005
2612;3.6;0.81;0.009
2614;3.7;0.67;0.005
2616;3.6;0.81;0.005
2621;4.5;0.83;0.005
2624;4.2;0.73;0.005
2625;1.9;0.5;0.005
2629;2;0.33;0.005
2630;4.3;0.81;0.005
2631;2.8;0.67;0.005
2635;3.2;0.69;0.005
2636;1.2;0.37;0.005
2637;4;0.77;0.005
2638;2.4;0.51;0.009
2644;2.8;0.68;0.009
2645;4.1;0.8;0.009
2647;3.8;0.83;0.009
2648;1.8;0.56;0.004
2650;0.2;0.06;0.005
2652;2;0.58;0.009
2653;3.4;0.73;0.005
2655;3.1;0.74;0.005
2656;1.2;0.4;0.009
2658;4.3;0.82;0.018
2661;2.1;0.51;0.004
2662;4.6;0.85;0.004
2664;2.9;0.7;0.009
2665;1.3;0.41;0.004
2666;3.5;0.8;0.004
2667;2.3;0.55;0.009
2668;2.6;0.69;0.004
2669;1.8;0.56;0.004
2671;1.6;0.53;0.004
2673;1.5;0.43;0.004
2676;4.4;0.83;0.013
2678;2.7;0.68;0.004
2679;1.5;0.41;0.004
2681;5;0.84;0.004
2682;2.1;0.58;0.004
2683;4.1;0.77;0.004
2686;4.5;0.84;0.004
2689;4.7;0.85;0.004
2691;1;0.35;0.004
2692;2.9;0.68;0.009
2693;4.9;0.85;0.004
2694;2;0.51;0.004
2696;1.6;0.48;0.004
2699;3.9;0.72;0.009
2702;4.7;0.82;0.004
2705;2.1;0.54;0.004
2708;1.8;0.36;0.008
2711;4.7;0.81;0.008
2713;2.8;0.65;0.008
2716;4.4;0.82;0.004
2718;1.3;0.41;0.008
2719;3.1;0.77;0.004
2721;3.4;0.82;0.004
2727;3.2;0.7;0.013
2729;2.2;0.63;0.004
2730;4.4;0.82;0.009
2732;3.6;0.77;0.004
2733;3.1;0.66;0.012
2736;2.6;0.62;0.004
2737;2;0.54;0.004
2739;4.3;0.84;0.004
2743;2.9;0.66;0.004
2744;4.9;0.83;0.008
2746;3.8;0.75;0.004
2749;1;0.32;0.004
2752;2.3;0.5;0.004
2754;3.1;0.67;0.004
2757;2.1;0.57;0.008
2758;4.3;0.81;0.004
2759;1.8;0.49;0.004
2760;4;0.74;0.004
2761;1.8;0.41;0.004
2765;3.1;0.72;0.008
2767;5.8;0.82;0.008
2768;1.9;0.54;0.004
2773;3.3;0.72;0.004
2776;5.9;0.83;0.004
2779;1.8;0.35;0.004
2780;2.5;0.7;0.004
2781;4.4;0.81;0.004
2786;4.4;0.82;0.004
2787;3.5;0.67;0.008
2792;3;0.64;0.004
2793;4.2;0.81;0.004
2796;3.9;0.7;0.004
2800;4.1;0.84;0.008
2805;3.8;0.82;0.004
2806;2.3;0.55;0.004
2809;4.5;0.82;0.004
2811;3.2;0.72;0.004
2812;1.9;0.5;0.004
2822;4;0.85;0.004
2823;2.4;0.57;0.004
2824;2.9;0.71;0.004
2826;2.3;0.67;0.004
2827;3.7;0.81;0.004
2828;2.7;0.66;0.004
2843;4.5;0.83;0.004
2844;1.7;0.36;0.004
2846;2;0.49;0.004
2847;5.4;0.83;0.004
2849;3.2;0.73;0.004
2851;3.2;0.7;0.004
2852;4.6;0.82;0.008
2853;2;0.54;0.012
2854;3.1;0.67;0.008
2857;3.9;0.83;0.008
2858;2;0.53;0.004
2862;2.6;0.66;0.004
2865;2.8;0.7;0.004
2870;2.8;0.67;0.004
2871;4.4;0.83;0.008
2873;2.5;0.71;0.004
2875;4;0.82;0.004
2876;2.7;0.64;0.004
2880;2.3;0.52;0.004
2881;4.1;0.8;0.004
2882;2.9;0.71;0.004
2887;4.3;0.81;0.004
2891;3.8;0.75;0.008
2893;3.2;0.68;0.008
2894;4.8;0.83;0.004
2900;4.2;0.77;0.008
2903;5.1;0.82;0.004
2906;2.2;0.51;0.004
2907;4.2;0.81;0.004
2908;2.4;0.65;0.004
2909;1.7;0.41;0.004
2910;3.3;0.68;0.004
2915;4.6;0.83;0.004
2916;2.9;0.62;0.008
2918;3.3;0.75;0.004
2923;1.7;0.36;0.004
2925;4.7;0.81;0.009
2926;3.2;0.68;0.004
2928;3.4;0.7;0.004
2930;4.6;0.78;0.004
2933;1.9;0.53;0.004
2934;4.5;0.84;0.004
2935;2.9;0.55;0.004
2936;3.6;0.71;0.004
2937;1.6;0.37;0.004
2941;4.1;0.8;0.004
2947;4.5;0.81;0.004
2951;5.1;0.83;0.004
2952;3;0.61;0.008
2954;4.5;0.82;0.004
2957;3.1;0.71;0.004
2958;2.2;0.52;0.004
2959;2.7;0.66;0.004
2962;2;0.5;0.004
2963;4.6;0.71;0.004
2964;4;0.79;0.004
2965;3;0.63;0.004
2966;1.4;0.38;0.004
2969;2.5;0.54;0.008
2970;4.8;0.83;0.008
2971;2.4;0.67;0.004
2975;2.9;0.63;0.004
2978;2;0.55;0.004
2979;4.6;0.84;0.008
2984;4.7;0.83;0.012
2985;3.4;0.66;0.008
2986;1.2;0.38;0.004
2987;3.9;0.71;0.008
2988;2.4;0.56;0.008
2992;3.2;0.7;0.008
2999;2;0.5;0.008
